stim1,stim2,correct,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,ws.thisRepN,ws.thisTrialN,ws.thisN,ws.thisIndex,cat.thisRepN,cat.thisTrialN,cat.thisN,cat.thisIndex,key_resp_2.keys,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
prac1.wav,prac2.wav,1,0,0,0,0,,,,,,,,,None,['2'],0,[0.9190740585327148],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
,,,,,,,,,,,,,,,,,,,space,8.96105790138,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
ws/9.wav,ws/18.wav,1,,,,,0,0,0,3,,,,,None,['1'],0,[0.6185200214385986],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
ws/22.wav,ws/4.wav,2,,,,,0,1,1,10,,,,,None,['1'],0,[1.386031150817871],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
ws/4.wav,ws/13.wav,1,,,,,0,2,2,2,,,,,None,['1'],0,[1.3684680461883545],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
ws/1.wav,ws/34.wav,1,,,,,0,3,3,0,,,,,None,['1'],0,[0.9020981788635254],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
ws/21.wav,ws/3.wav,2,,,,,0,4,4,8,,,,,None,['2'],0,[0.31827688217163086],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
ws/31.wav,ws/4.wav,2,,,,,0,5,5,9,,,,,None,['1'],0,[0.8510279655456543],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
ws/27.wav,ws/9.wav,2,,,,,0,6,6,11,,,,,None,['2'],0,[0.28478193283081055],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
ws/3.wav,ws/29.wav,1,,,,,0,7,7,1,,,,,None,['1'],0,[0.25192809104919434],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
ws/1.wav,ws/10.wav,1,,,,,0,8,8,5,,,,,None,['1'],0,[0.5016460418701172],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
ws/12.wav,ws/3.wav,2,,,,,0,9,9,7,,,,,None,"['1', '2']",0,"[0.6018698215484619, 1.43611478805542]",,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
ws/9.wav,ws/33.wav,1,,,,,0,10,10,4,,,,,None,['1'],0,[0.9690549373626709],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
ws/19.wav,ws/1.wav,2,,,,,0,11,11,6,,,,,None,['2'],0,[1.5029211044311523],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
,,,,,,,,,,,,,,,,,,,,,space,20.4735651016,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
cat/419.wav,cat/491.wav,2,,,,,,,,,0,0,0,2,,['1'],0,[0.9355731010437012],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
cat/1-23-9.wav,cat/1-14-9.wav,2,,,,,,,,,0,1,1,20,,['1'],0,[0.6852030754089355],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
cat/4-16-1.wav,cat/4-1-16.wav,1,,,,,,,,,0,2,2,13,,['2'],0,[1.0023319721221924],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
cat/934.wav,cat/943.wav,1,,,,,,,,,0,3,3,5,,['1'],0,[1.7866270542144775],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
cat/10-4-9.wav,cat/13-4-9.wav,1,,,,,,,,,0,4,4,8,,['2'],0,[2.737699031829834],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
cat/3-4-17.wav,cat/3-4-26.wav,1,,,,,,,,,0,5,5,12,,['1'],0,[0.652008056640625],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
cat/3-13-9.wav,cat/3-9-13.wav,1,,,,,,,,,0,6,6,10,,['1'],0,[2.1368579864501953],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
cat/3-15-9.wav,cat/3-22-9.wav,1,,,,,,,,,0,7,7,11,,['2'],0,[1.2693369388580322],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
cat/394.wav,cat/349.wav,2,,,,,,,,,0,8,8,1,,['1'],0,[0.8188598155975342],,,,,,,2016_Mar_30_1235,59.934125824,Stat_Cat_Oct,001,104,
