stim1,stim2,correct,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,ws.thisRepN,ws.thisTrialN,ws.thisN,ws.thisIndex,cat.thisRepN,cat.thisTrialN,cat.thisN,cat.thisIndex,key_resp_2.keys,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
prac1.wav,prac2.wav,1,0,0,0,0,,,,,,,,,None,['1'],0,[27.69682812690735],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
,,,,,,,,,,,,,,,,,,,space,21.6748390198,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
ws/22.wav,ws/4.wav,2,,,,,0,0,0,10,,,,,None,['1'],0,[3.071209192276001],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
ws/9.wav,ws/33.wav,1,,,,,0,1,1,4,,,,,None,['1'],0,[4.339301824569702],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
ws/1.wav,ws/10.wav,1,,,,,0,2,2,5,,,,,None,['2'],0,[3.438377857208252],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
ws/3.wav,ws/29.wav,1,,,,,0,3,3,1,,,,,None,['1'],0,[0.8187921047210693],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
ws/27.wav,ws/9.wav,2,,,,,0,4,4,11,,,,,None,['1'],0,[2.036807060241699],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
ws/4.wav,ws/13.wav,1,,,,,0,5,5,2,,,,,None,['2'],0,[2.5205800533294678],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
ws/9.wav,ws/18.wav,1,,,,,0,6,6,3,,,,,None,['2'],0,[1.5362510681152344],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
ws/31.wav,ws/4.wav,2,,,,,0,7,7,9,,,,,None,['2'],0,[0.785377025604248],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
ws/1.wav,ws/34.wav,1,,,,,0,8,8,0,,,,,None,['2'],0,[1.0524239540100098],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
ws/21.wav,ws/3.wav,2,,,,,0,9,9,8,,,,,None,['2'],0,[2.5540521144866943],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
ws/19.wav,ws/1.wav,2,,,,,0,10,10,6,,,,,None,['1'],0,[1.8365190029144287],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
ws/12.wav,ws/3.wav,2,,,,,0,11,11,7,,,,,None,['2'],0,[1.969985008239746],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
,,,,,,,,,,,,,,,,,,,,,space,24.2942659855,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/439.wav,cat/493.wav,2,,,,,,,,,0,0,0,3,,['2'],0,[1.5362508296966553],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/149.wav,cat/194.wav,1,,,,,,,,,0,1,1,0,,['2'],0,[2.052481174468994],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/25-4-9.wav,cat/12-4-9.wav,2,,,,,,,,,0,2,2,24,,['1'],0,[1.6530041694641113],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/914.wav,cat/941.wav,1,,,,,,,,,0,3,3,4,,['2'],0,[2.0034730434417725],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/3-4-20.wav,cat/3-4-18.wav,2,,,,,,,,,0,4,4,25,,['1'],0,[1.7363710403442383],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/3-4-17.wav,cat/3-4-26.wav,1,,,,,,,,,0,5,5,12,,['1'],0,[1.4363279342651367],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/1-9-15.wav,cat/1-15-9.wav,2,,,,,,,,,0,6,6,22,,['2'],0,[3.3214919567108154],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/1-14-9.wav,cat/1-10-9.wav,1,,,,,,,,,0,7,7,6,,['1'],0,[2.6541709899902344],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/3-9-14.wav,cat/3-14-9.wav,2,,,,,,,,,0,8,8,26,,['2'],0,[4.956714868545532],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/1-4-18.wav,cat/1-4-12.wav,1,,,,,,,,,0,9,9,7,,['1'],0,[1.4028019905090332],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/10-4-9.wav,cat/13-4-9.wav,1,,,,,,,,,0,10,10,8,,['1'],0,[1.2191920280456543],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/1-4-13.wav,cat/1-4-16.wav,2,,,,,,,,,0,11,11,21,,['1'],0,[0.9189529418945312],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/934.wav,cat/943.wav,1,,,,,,,,,0,12,12,5,,['2'],0,[5.924231052398682],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/1-23-9.wav,cat/1-14-9.wav,2,,,,,,,,,0,13,13,20,,['2'],0,[1.7188429832458496],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/9-4-11.wav,cat/9-11-4.wav,2,,,,,,,,,0,14,14,18,,['1'],0,[2.2871029376983643],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/3-13-9.wav,cat/3-9-13.wav,1,,,,,,,,,0,15,15,10,,['1'],0,[1.5029151439666748],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/9-12-4.wav,cat/9-4-12.wav,1,,,,,,,,,0,16,16,16,,['2'],0,[0.885390043258667],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/4-18-1.wav,cat/4-1-18.wav,1,,,,,,,,,0,17,17,14,,['2'],0,[1.9866728782653809],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/3-15-9.wav,cat/3-22-9.wav,1,,,,,,,,,0,18,18,11,,['2'],0,[3.9544689655303955],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/4-3-17.wav,cat/4-17-3.wav,2,,,,,,,,,0,19,19,17,,['2'],0,[2.2203850746154785],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
cat/4-16-1.wav,cat/4-1-16.wav,1,,,,,,,,,0,20,20,13,,['2'],0,[0.7187440395355225],,,,,,,2016_Jul_26_1631,59.937637365,Stat_Cat_Oct,001,123,
