stim1,stim2,correct,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,ws.thisRepN,ws.thisTrialN,ws.thisN,ws.thisIndex,cat.thisRepN,cat.thisTrialN,cat.thisN,cat.thisIndex,key_resp_2.keys,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
prac1.wav,prac2.wav,1,0,0,0,0,,,,,,,,,None,"['2', '2']",0,"[10.596163988113403, 10.66275405883789]",,,,,,,,2016_Aug_04_1330,59.9405496867,Stat_Cat_Oct,001,126,
,,,,,,,,,,,,,,,,,,,space,16.2020831108,,,,,,2016_Aug_04_1330,59.9405496867,Stat_Cat_Oct,001,126,
ws/22.wav,ws/4.wav,2,,,,,0,0,0,10,,,,,None,['2'],0,[2.7207529544830322],,,,,,,,2016_Aug_04_1330,59.9405496867,Stat_Cat_Oct,001,126,
ws/4.wav,ws/13.wav,1,,,,,0,1,1,2,,,,,None,['2'],0,[1.6863081455230713],,,,,,,,2016_Aug_04_1330,59.9405496867,Stat_Cat_Oct,001,126,
ws/1.wav,ws/10.wav,1,,,,,0,2,2,5,,,,,['1'],['1'],0,[0.25139784812927246],,,[2.4872231483459473],,,,,2016_Aug_04_1330,59.9405496867,Stat_Cat_Oct,001,126,
ws/9.wav,ws/33.wav,1,,,,,0,3,3,4,,,,,None,['2'],0,[0.335040807723999],,,,,,,,2016_Aug_04_1330,59.9405496867,Stat_Cat_Oct,001,126,
ws/27.wav,ws/9.wav,2,,,,,0,4,4,11,,,,,None,['1'],0,[0.06794214248657227],,,,,,,,2016_Aug_04_1330,59.9405496867,Stat_Cat_Oct,001,126,
ws/3.wav,ws/29.wav,1,,,,,0,5,5,1,,,,,['2'],['2'],0,[0.9854598045349121],,,[2.8709800243377686],,,,,2016_Aug_04_1330,59.9405496867,Stat_Cat_Oct,001,126,
ws/19.wav,ws/1.wav,2,,,,,0,6,6,6,,,,,None,['1'],0,[0.5018818378448486],,,,,,,,2016_Aug_04_1330,59.9405496867,Stat_Cat_Oct,001,126,
ws/9.wav,ws/18.wav,1,,,,,0,7,7,3,,,,,None,['2'],0,[1.653075933456421],,,,,,,,2016_Aug_04_1330,59.9405496867,Stat_Cat_Oct,001,126,
ws/31.wav,ws/4.wav,2,,,,,0,8,8,9,,,,,None,['2'],0,[1.7698099613189697],,,,,,,,2016_Aug_04_1330,59.9405496867,Stat_Cat_Oct,001,126,
ws/12.wav,ws/3.wav,2,,,,,0,9,9,7,,,,,None,['1'],0,[0.2849540710449219],,,,,,,,2016_Aug_04_1330,59.9405496867,Stat_Cat_Oct,001,126,
