Unnamed: 29,Unnamed: 30,Unnamed: 31,cat.thisIndex,cat.thisN,cat.thisRepN,cat.thisTrialN,correct,date,expName,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.corr,key_resp_9.keys,key_resp_9.rt,participant,practice.thisIndex,practice.thisN,practice.thisRepN,practice.thisTrialN,session,stim1,stim2,ws.thisIndex,ws.thisN,ws.thisRepN,ws.thisTrialN
,,,,,,,1.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,None,,,,,,,,0.0,['2'],[7.389832973480225],100,0.0,0.0,0.0,0.0,1,prac1.wav,prac2.wav,,,,
,,,,,,,,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,space,5.48235082626,,,,,,,,100,,,,,1,,,,,,
,,,,,,,2.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,None,,,,,,,,0.0,['1'],[1.4881348609924316],100,,,,,1,ws/31.wav,ws/4.wav,9.0,0.0,0.0,0.0
,,,,,,,1.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,None,,,,,,,,0.0,['2'],[1.4887161254882812],100,,,,,1,ws/1.wav,ws/34.wav,0.0,1.0,0.0,1.0
,,,,,,,2.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,None,,,,,,,,0.0,['1'],[1.7395150661468506],100,,,,,1,ws/21.wav,ws/3.wav,8.0,2.0,0.0,2.0
,,,,,,,2.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,None,,,,,,,,0.0,['2'],[0.5859329700469971],100,,,,,1,ws/27.wav,ws/9.wav,11.0,3.0,0.0,3.0
,,,,,,,2.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,None,,,,,,,,0.0,['2'],[0.952477216720581],100,,,,,1,ws/12.wav,ws/3.wav,7.0,4.0,0.0,4.0
,,,,,,,2.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,None,,,,,,,,0.0,['1'],[0.11785006523132324],100,,,,,1,ws/22.wav,ws/4.wav,10.0,5.0,0.0,5.0
,,,,,,,1.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,None,,,,,,,,0.0,['1'],[1.5050430297851562],100,,,,,1,ws/9.wav,ws/33.wav,4.0,6.0,0.0,6.0
,,,,,,,1.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,None,,,,,,,,0.0,['1'],[1.922226905822754],100,,,,,1,ws/1.wav,ws/10.wav,5.0,7.0,0.0,7.0
,,,,,,,2.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,None,,,,,,,,0.0,['2'],[2.273529052734375],100,,,,,1,ws/19.wav,ws/1.wav,6.0,8.0,0.0,8.0
,,,,,,,1.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,None,,,,,,,,0.0,['1'],[1.5214190483093262],100,,,,,1,ws/9.wav,ws/18.wav,3.0,9.0,0.0,9.0
,,,,,,,1.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,None,,,,,,,,0.0,['1'],[1.5383520126342773],100,,,,,1,ws/3.wav,ws/29.wav,1.0,10.0,0.0,10.0
,,,,,,,1.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,None,,,,,,,,0.0,['2'],[0.5361349582672119],100,,,,,1,ws/4.wav,ws/13.wav,2.0,11.0,0.0,11.0
