numb_back,order_set,img_numb,response,repeat_img,repeat_pos,lure,lure_kind,answer,time,file
2,2,3,0,,1,0,,1,0.0010769367218,2_1.txt
2,2,8,0,,2,0,,0,,2_1.txt
2,2,5,0,,3,0,,0,,2_1.txt
2,2,8,1,8,4,0,,1,0.00104188919067,2_1.txt
2,2,2,0,,5,0,,0,,2_1.txt
2,2,5,0,,6,1,3back,1,0.0512228012085,2_1.txt
2,2,2,1,2,7,0,,1,0.20129108429,2_1.txt
2,2,4,0,,8,0,,0,,2_1.txt
2,2,6,0,,9,0,,0,,2_1.txt
2,2,3,1,,10,0,,1,0.00113105773926,2_1.txt
2,2,6,0,6,11,0,,0,,2_1.txt
2,2,7,0,,12,0,,1,0.00102114677429,2_1.txt
2,2,1,0,,13,0,,0,,2_1.txt
2,2,7,1,7,14,0,,0,,2_1.txt
2,2,8,0,,15,0,,1,0.000975847244263,2_1.txt
2,2,4,0,,16,0,,0,,2_1.txt
2,2,3,1,,17,0,,0,,2_1.txt
2,2,4,0,4,18,0,,0,,2_1.txt
2,2,1,0,,19,0,,0,,2_1.txt
2,2,2,0,,20,0,,0,,2_1.txt
2,2,1,1,1,21,0,,1,0.00101709365845,2_1.txt
2,2,5,0,,22,0,,0,,2_1.txt
1,7,3,0,,1,0,,0,,1_6.txt
1,7,8,0,,2,0,,0,,1_6.txt
1,7,5,0,,3,0,,0,,1_6.txt
1,7,5,1,5,4,0,,1,0.000880002975464,1_6.txt
1,7,7,0,,5,0,,0,,1_6.txt
1,7,3,0,,6,0,,0,,1_6.txt
1,7,3,1,3,7,0,,1,0.000935077667236,1_6.txt
1,7,1,0,,8,0,,0,,1_6.txt
1,7,6,0,,9,0,,0,,1_6.txt
1,7,6,1,6,10,0,,1,0.000996112823486,1_6.txt
1,7,1,0,,11,0,,0,,1_6.txt
1,7,1,1,1,12,0,,1,0.000990152359009,1_6.txt
1,7,2,0,,13,0,,0,,1_6.txt
1,7,8,0,,14,0,,0,,1_6.txt
1,7,7,0,,15,0,,0,,1_6.txt
1,7,7,1,7,16,0,,1,0.000986099243164,1_6.txt
1,7,8,0,,17,0,,0,,1_6.txt
1,7,2,0,,18,0,,0,,1_6.txt
1,7,4,1,,19,0,,0,,1_6.txt
1,7,4,0,4,20,0,,1,0.000990867614746,1_6.txt
1,7,8,0,,21,0,,0,,1_6.txt
2,1,4,0,,1,0,,0,,2_0.txt
2,1,8,0,,2,0,,0,,2_0.txt
2,1,5,0,,3,0,,0,,2_0.txt
2,1,8,1,8,4,0,,1,0.000970840454102,2_0.txt
2,1,6,0,,5,0,,0,,2_0.txt
2,1,4,0,,6,0,,0,,2_0.txt
2,1,3,1,,7,0,,0,,2_0.txt
2,1,4,0,4,8,0,,1,0.000960826873779,2_0.txt
2,1,1,0,,9,0,,0,,2_0.txt
2,1,7,0,,10,0,,0,,2_0.txt
2,1,1,1,1,11,0,,1,0.00103998184204,2_0.txt
2,1,5,0,,12,0,,0,,2_0.txt
2,1,2,0,,13,0,,0,,2_0.txt
2,1,8,0,,14,0,,0,,2_0.txt
2,1,2,1,2,15,0,,1,0.000907897949219,2_0.txt
2,1,7,0,,16,0,,0,,2_0.txt
2,1,6,0,,17,0,,0,,2_0.txt
2,1,7,1,7,18,0,,0,,2_0.txt
2,1,3,0,,19,0,,1,0.134379148483,2_0.txt
2,1,6,0,,20,1,3back,0,,2_0.txt
2,1,3,1,3,21,0,,0,,2_0.txt
2,1,2,0,,22,0,,1,0.000136852264404,2_0.txt
1,8,8,0,,1,0,,0,,1_7.txt
1,8,3,0,,2,0,,0,,1_7.txt
1,8,1,1,,3,0,,0,,1_7.txt
1,8,1,0,1,4,0,,1,0.00114512443542,1_7.txt
1,8,8,0,,5,0,,0,,1_7.txt
1,8,4,0,,6,0,,0,,1_7.txt
1,8,4,1,4,7,0,,1,0.000988006591797,1_7.txt
1,8,5,0,,8,0,,0,,1_7.txt
1,8,2,0,,9,0,,0,,1_7.txt
1,8,2,1,2,10,0,,1,0.000931024551392,1_7.txt
1,8,5,0,,11,0,,0,,1_7.txt
1,8,6,0,,12,0,,1,0.00109386444092,1_7.txt
1,8,6,1,6,13,0,,1,0.0010130405426,1_7.txt
1,8,7,0,,14,0,,0,,1_7.txt
1,8,4,0,,15,0,,0,,1_7.txt
1,8,7,0,,16,0,,0,,1_7.txt
1,8,7,1,7,17,0,,1,0.101301193237,1_7.txt
1,8,5,0,,18,0,,0,,1_7.txt
1,8,2,0,,19,0,,0,,1_7.txt
1,8,3,0,,20,0,,0,,1_7.txt
1,8,3,1,3,21,0,,1,0.000138998031616,1_7.txt
1,2,5,0,,1,0,,0,,1_1.txt
1,2,8,0,,2,0,,0,,1_1.txt
1,2,8,1,8,3,0,,1,0.117841005325,1_1.txt
1,2,2,0,,4,0,,0,,1_1.txt
1,2,1,0,,5,0,,0,,1_1.txt
1,2,1,1,1,6,0,,1,0.000946044921875,1_1.txt
1,2,4,0,,7,0,,0,,1_1.txt
1,2,7,0,,8,0,,0,,1_1.txt
1,2,7,1,7,9,0,,1,0.101348876953,1_1.txt
1,2,3,0,,10,0,,0,,1_1.txt
1,2,6,0,,11,0,,0,,1_1.txt
1,2,6,1,6,12,0,,1,0.000852823257446,1_1.txt
1,2,3,0,,13,0,,0,,1_1.txt
1,2,5,0,,14,0,,0,,1_1.txt
1,2,2,0,,15,0,,0,,1_1.txt
1,2,2,1,2,16,0,,1,0.0178418159485,1_1.txt
1,2,8,0,,17,0,,0,,1_1.txt
1,2,5,0,,18,0,,0,,1_1.txt
1,2,4,0,,19,0,,0,,1_1.txt
1,2,4,1,4,20,0,,1,0.000845909118652,1_1.txt
1,2,7,0,,21,0,,0,,1_1.txt
2,10,5,0,,1,0,,0,,2_9.txt
2,10,2,0,,2,0,,0,,2_9.txt
2,10,7,1,,3,0,,0,,2_9.txt
2,10,2,0,2,4,0,,1,0.0847280025482,2_9.txt
2,10,1,0,,5,0,,0,,2_9.txt
2,10,6,0,,6,0,,0,,2_9.txt
2,10,8,1,,7,0,,1,0.000919103622437,2_9.txt
2,10,6,0,6,8,0,,0,,2_9.txt
2,10,1,0,,9,0,,0,,2_9.txt
2,10,5,1,,10,0,,0,,2_9.txt
2,10,1,0,1,11,0,,1,0.00113701820374,2_9.txt
2,10,8,0,,12,0,,0,,2_9.txt
2,10,7,1,,13,0,,0,,2_9.txt
2,10,8,0,8,14,0,,1,0.00114107131958,2_9.txt
2,10,4,0,,15,0,,0,,2_9.txt
2,10,5,1,,16,0,,0,,2_9.txt
2,10,4,0,4,17,0,,1,0.000843048095703,2_9.txt
2,10,3,0,,18,0,,0,,2_9.txt
2,10,7,0,,19,0,,0,,2_9.txt
2,10,3,1,3,20,0,,1,0.00120210647583,2_9.txt
2,10,6,0,,21,0,,0,,2_9.txt
2,10,2,0,,22,0,,0,,2_9.txt
1,7,3,0,,1,0,,0,,1_6.txt
1,7,8,0,,2,0,,1,0.0179541110992,1_6.txt
1,7,5,0,,3,0,,0,,1_6.txt
1,7,5,1,5,4,0,,1,0.00088906288147,1_6.txt
1,7,7,0,,5,0,,0,,1_6.txt
1,7,3,0,,6,0,,0,,1_6.txt
1,7,3,1,3,7,0,,1,0.0178380012512,1_6.txt
1,7,1,0,,8,0,,0,,1_6.txt
1,7,6,0,,9,0,,0,,1_6.txt
1,7,6,1,6,10,0,,1,0.000974893569946,1_6.txt
1,7,1,0,,11,0,,0,,1_6.txt
1,7,1,1,1,12,0,,1,0.00118112564087,1_6.txt
1,7,2,0,,13,0,,0,,1_6.txt
1,7,8,0,,14,0,,0,,1_6.txt
1,7,7,0,,15,0,,0,,1_6.txt
1,7,7,1,7,16,0,,1,0.000983953475952,1_6.txt
1,7,8,0,,17,0,,0,,1_6.txt
1,7,2,0,,18,0,,0,,1_6.txt
1,7,4,1,,19,0,,0,,1_6.txt
1,7,4,0,4,20,0,,1,0.000993967056274,1_6.txt
1,7,8,0,,21,0,,0,,1_6.txt
1,9,2,0,,1,0,,0,,1_8.txt
1,9,7,0,,2,0,,0,,1_8.txt
1,9,6,1,,3,0,,0,,1_8.txt
1,9,3,0,,4,0,,0,,1_8.txt
1,9,3,1,3,5,0,,1,0.117928028107,1_8.txt
1,9,7,0,,6,0,,0,,1_8.txt
1,9,4,0,,7,0,,0,,1_8.txt
1,9,4,1,4,8,0,,1,0.00104188919067,1_8.txt
1,9,6,0,,9,0,,0,,1_8.txt
1,9,8,0,,10,0,,0,,1_8.txt
1,9,8,1,8,11,0,,1,0.000945806503296,1_8.txt
1,9,3,0,,12,0,,0,,1_8.txt
1,9,5,0,,13,0,,0,,1_8.txt
1,9,5,0,,14,0,,1,0.267841815948,1_8.txt
1,9,5,1,5,15,0,,1,0.101212978363,1_8.txt
1,9,4,0,,16,0,,0,,1_8.txt
1,9,6,0,,17,0,,1,0.00109601020813,1_8.txt
1,9,6,0,6,18,0,,1,0.000911951065063,1_8.txt
1,9,1,1,,19,0,,0,,1_8.txt
1,9,1,0,1,20,0,,1,0.00109505653381,1_8.txt
1,9,7,0,,21,0,,0,,1_8.txt
